"","Label","Route","FROM","TO","BF","POSTERIOR","Subgenotype","BFlevel","FROM_lat","FROM_long","TO_lat","TO_long","Rate.mean","Rate.median"
"89","China.Malaysia%%%4F","China.Malaysia","China","Malaysia",7.31235186857816,0.77380291078769,"4F","L1",23.13,113.939,3.13333333333333,101.683333333333,"1.1193",379
"90","Indonesia.Malaysia%%%4F","Indonesia.Malaysia","Indonesia","Malaysia",130.551943034967,0.983890678813465,"4F","L4",-6.175,106.828333333333,3.13333333333333,101.683333333333,"1.5521",381
"91","Indonesia.Reunion%%%4F","Indonesia.Reunion","Indonesia","Reunion",6.72881031560886,0.758915676035996,"4F","L1",-6.175,106.828333333333,-21.1144444444444,55.5325,"0.9325",366
"92","Madagascar.Seychelles%%%4F","Madagascar.Seychelles","Madagascar","Seychelles",18.5062121883646,0.896455949338962,"4F","L2",-18.9166666666666,47.5166666666666,-4.61666666666666,55.45,"0.9741",376
"93","Australia.Papua_New_Guinea%%%4G","Australia.Papua_New_Guinea","Australia","Papua_New_Guinea",11.9896551592098,0.880013331852016,"4G","L2",-18.188,143.262,-9.5,147.116666666666,"0.9421",389
"94","Marshall_Islands.Micronesia%%%4G","Marshall_Islands.Micronesia","Marshall_Islands","Micronesia",7.60213595864469,0.823019664481724,"4G","L1",7.11666666666666,171.066666666666,6,158.09,"1.0946",392
"95","Cook_Islands.French_Polynesia%%%4H","Cook_Islands.French_Polynesia","Cook_Islands","French_Polynesia",24.1654442851957,0.824463948450172,"4H","L2",-21.2,200.233333333334,-17.5666666666666,210.4,"1.181",446
"96","Fiji.Kiribati%%%4H","Fiji.Kiribati","Fiji","Kiribati",29.4408951182788,0.851238751249861,"4H","L2",-18.1666666666666,178.45,1.46666666666666,173.033333333333,"1.0468",442
"97","Fiji.New_Caledonia%%%4H","Fiji.New_Caledonia","Fiji","New_Caledonia",384.019472678547,0.986779246750361,"4H","L4",-18.1666666666666,178.45,-22.2666666666666,166.466666666666,"1.6248",447
"98","Fiji.Niue%%%4H","Fiji.Niue","Fiji","Niue",132.27506457669,0.962559715587157,"4H","L4",-18.1666666666666,178.45,-19.0538888888888,190.08,"1.0859",444
"99","French_Polynesia.New_Caledonia%%%4H","French_Polynesia.New_Caledonia","French_Polynesia","New_Caledonia",51.3312664984264,0.908899011220975,"4H","L3",-17.5666666666666,210.4,-22.2666666666666,166.466666666666,"1.0495",445
"100","French_Polynesia.USA*Hawaii%%%4H","French_Polynesia.USA*Hawaii","French_Polynesia","USA.Hawaii",17.9294800352412,0.777024775024997,"4H","L2",-17.5666666666666,210.4,21.3533,202.1155,"0.7873",394
"101","Indonesia.Malaysia%%%4H","Indonesia.Malaysia","Indonesia","Malaysia",13.5060102834529,0.724141762026442,"4H","L2",-6.175,106.828333333333,3.13333333333333,101.683333333333,"1.1019",443
"102","New_Caledonia.Vanuatu%%%4H","New_Caledonia.Vanuatu","New_Caledonia","Vanuatu",252.135940635991,0.980002221975336,"4H","L4",-22.2666666666666,166.466666666666,-17.7333333333333,168.316666666666,"0.9154",436
"103","New_Caledonia.Wallis_and_Futuna%%%4H","New_Caledonia.Wallis_and_Futuna","New_Caledonia","Wallis_and_Futuna",107.807581099616,0.954449505610488,"4H","L4",-22.2666666666666,166.466666666666,-13.2833333333333,183.816666666667,"0.9236",102
"104","Comoros.Singapore%%%5B","Comoros.Singapore","Comoros","Singapore",14.1728780222445,0.818575713809577,"5B","L2",-11.6833333333333,43.2666666666666,1.28333333333333,103.833333333333,"0.9833",214
"105","India.Malaysia%%%5B","India.Malaysia","India","Malaysia",7.69171045121018,0.710032218642373,"5B","L1",28.6138888888888,77.2083333333333,3.13333333333333,101.683333333333,"0.924",464
"106","India.Thailand%%%5B","India.Thailand","India","Thailand",128.365216014896,0.976113765137207,"5B","L4",28.6138888888888,77.2083333333333,13.75,100.483333333333,"0.9182",465
"107","Australia.India%%%5C","Australia.India","Australia","India",6.70211945235934,0.565714920564382,"5C","L1",-18.188,143.262,28.6138888888888,77.2083333333333,"0.9006",495
"108","Australia.Thailand%%%5C","Australia.Thailand","Australia","Thailand",34.9854354093471,0.871792023108544,"5C","L3",-18.188,143.262,13.75,100.483333333333,"1.0725",514
"109","Bhutan.China%%%5C","Bhutan.China","Bhutan","China",17.6343803148339,0.774136207088101,"5C","L2",27.4666666666666,89.6416666666666,23.13,113.939,"0.8812",508
"110","China.India%%%5C","China.India","China","India",2567.66483928477,0.998000222197534,"5C","L4",23.13,113.939,28.6138888888888,77.2083333333333,"1.7658",515
"111","China.Myanmar%%%5C","China.Myanmar","China","Myanmar",53.0340699537386,0.911565381624264,"5C","L3",23.13,113.939,19.75,96.1,"0.6659",470
"112","China.Singapore%%%5C","China.Singapore","China","Singapore",46305.432924865,1,"5C","L5",23.13,113.939,1.28333333333333,103.833333333333,"2.9859",516
"113","India.Malaysia%%%5C","India.Malaysia","India","Malaysia",25.0247095343541,0.829463392956338,"5C","L2",28.6138888888888,77.2083333333333,3.13333333333333,101.683333333333,"0.8148",293
"114","Indonesia.Singapore%%%5C","Indonesia.Singapore","Indonesia","Singapore",161.439764749667,0.969114542828575,"5C","L4",-6.175,106.828333333333,1.28333333333333,103.833333333333,"0.9371",513
"115","Malaysia.Singapore%%%5C","Malaysia.Singapore","Malaysia","Singapore",34.5724287179703,0.870458837906899,"5C","L3",3.13333333333333,101.683333333333,1.28333333333333,103.833333333333,"0.8464",117
"116","Angola.Grenada%%%5K","Angola.Grenada","Angola","Grenada",9.07530800671973,0.5120542161982,"5K","L1",-8.83333333333333,13.3333333333333,12.05,298.25,"0.9323",561
"117","Aruba.Puerto_Rico%%%5K","Aruba.Puerto_Rico","Aruba","Puerto_Rico",19.9384166348991,0.697478057993556,"5K","L2",12.5186111111111,287.964166666667,18.45,293.9,"1.1903",616
"118","Bahamas.Grenada%%%5K","Bahamas.Grenada","Bahamas","Grenada",11.1386753345395,0.56293745139429,"5K","L2",25.0666666666666,282.666666666667,12.05,298.25,"0.9279",593
"119","Bahamas.Jamaica%%%5K","Bahamas.Jamaica","Bahamas","Jamaica",17.499398670304,0.669258971225419,"5K","L2",25.0666666666666,282.666666666667,17.9833333333333,283.2,"1.1222",613
"120","Brazil.Grenada%%%5K","Brazil.Grenada","Brazil","Grenada",22.5882835270935,0.723141873125208,"5K","L2",-15.7833333333333,312.133333333333,12.05,298.25,"1.114",615
"121","Colombia.Grenada%%%5K","Colombia.Grenada","Colombia","Grenada",19.6989817531616,0.694922786357071,"5K","L2",4.58333333333333,285.933333333333,12.05,298.25,"1.0955",614
"122","Costa_Rica.Puerto_Rico%%%5K","Costa_Rica.Puerto_Rico","Costa_Rica","Puerto_Rico",17.2213270199493,0.665703810687701,"5K","L2",9.93333333333333,275.916666666667,18.45,293.9,"1.011",610
"123","French_Guiana.Puerto_Rico%%%5K","French_Guiana.Puerto_Rico","French_Guiana","Puerto_Rico",13.5415073911562,0.610265526052661,"5K","L2",4,307,18.45,293.9,"0.9684",608
"124","French_Polynesia.Puerto_Rico%%%5K","French_Polynesia.Puerto_Rico","French_Polynesia","Puerto_Rico",15.9152063145126,0.647928007999111,"5K","L2",-17.5666666666666,210.4,18.45,293.9,"0.9925",609
"125","Grenada.Jamaica%%%5K","Grenada.Jamaica","Grenada","Jamaica",10.9493765786501,0.558715698255749,"5K","L2",12.05,298.25,17.9833333333333,283.2,"0.9619",390
"126","Grenada.Mexico%%%5K","Grenada.Mexico","Grenada","Mexico",76.6103350740906,0.898566825908232,"5K","L3",12.05,298.25,19.4333333333333,260.866666666667,"1.0452",612
"127","Grenada.Puerto_Rico%%%5K","Grenada.Puerto_Rico","Grenada","Puerto_Rico",22.5132563620114,0.722475280524386,"5K","L2",12.05,298.25,18.45,293.9,"1.1922",617
"128","Grenada.Suriname%%%5K","Grenada.Suriname","Grenada","Suriname",17.411861258612,0.668147983557382,"5K","L2",12.05,298.25,5.83333333333333,304.833333333333,"0.9337",602
"129","Grenada.Trinidad_and_Tobago%%%5K","Grenada.Trinidad_and_Tobago","Grenada","Trinidad_and_Tobago",1015.57412965537,0.99155649372292,"5K","L4",12.05,298.25,10.6666666666666,298.4925,"1.4812",619
"130","India.Pakistan%%%5K","India.Pakistan","India","Pakistan",189.420380528602,0.95633818464615,"5K","L4",28.6138888888888,77.2083333333333,33.6666666666666,73.1666666666666,"1.2047",618
"131","India.Singapore%%%5K","India.Singapore","India","Singapore",10.3886291769997,0.545717142539718,"5K","L2",28.6138888888888,77.2083333333333,1.28333333333333,103.833333333333,"0.8727",518
"132","Puerto_Rico.USA%%%5K","Puerto_Rico.USA","Puerto_Rico","USA",18.3988410130312,0.680257749138985,"5K","L2",18.45,293.9,29.306,278.306,"0.9382",605
"133","Argentina.Brazil%%%5L","Argentina.Brazil","Argentina","Brazil",5621.67559534117,1,"5L","L4",-34.6,301.616666666667,-15.7833333333333,312.133333333333,"1.865",624
"134","Argentina.Virgin_Islands%%%5L","Argentina.Virgin_Islands","Argentina","Virgin_Islands",13.71797199555,0.956449283412954,"5L","L2",-34.6,301.616666666667,18.43055,295.37695,"0.8119",145
"135","Argentina.Paraguay%%%5M","Argentina.Paraguay","Argentina","Paraguay",14712.7191197449,0.999888901233196,"5M","L5",-34.6,301.616666666667,-25.2666666666666,302.333333333333,"1.6647",639
"136","Argentina.Puerto_Rico%%%5M","Argentina.Puerto_Rico","Argentina","Puerto_Rico",8.09696895118963,0.832018664592823,"5M","L1",-34.6,301.616666666667,18.45,293.9,"0.7229",625
"137","Puerto_Rico.USA%%%5M","Puerto_Rico.USA","Puerto_Rico","USA",3676.95372001049,0.999555604932785,"5M","L4",18.45,293.9,29.306,278.306,"1.4131",638
"138","Argentina.Brazil%%%5N","Argentina.Brazil","Argentina","Brazil",251.304964318071,0.983779580046661,"5N","L4",-34.6,301.616666666667,-15.7833333333333,312.133333333333,"0.69",641
"139","Argentina.Paraguay%%%5N","Argentina.Paraguay","Argentina","Paraguay",843.480905877419,0.995111654260638,"5N","L4",-34.6,301.616666666667,-25.2666666666666,302.333333333333,"1.2481",318
"140","Barbados.Venezuela%%%5N","Barbados.Venezuela","Barbados","Venezuela",264.169274516991,0.984557271414287,"5N","L4",13.1,300.383333333333,10.5,293.083333333333,"1.0165",659
"141","Brazil.Venezuela%%%5N","Brazil.Venezuela","Brazil","Venezuela",38.675661333639,0.903232974113987,"5N","L3",-15.7833333333333,312.133333333333,10.5,293.083333333333,"0.5978",640
"142","Colombia.Mexico%%%5N","Colombia.Mexico","Colombia","Mexico",72.5961753701226,0.946005999333407,"5N","L3",4.58333333333333,285.933333333333,19.4333333333333,260.866666666667,"1.115",660
"143","Costa_Rica.Nicaragua%%%5N","Costa_Rica.Nicaragua","Costa_Rica","Nicaragua",325.904952791451,0.987445839351183,"5N","L4",9.93333333333333,275.916666666667,12.1,273.766666666667,"1.1419",661
"144","El_Salvador.Nicaragua%%%5N","El_Salvador.Nicaragua","El_Salvador","Nicaragua",824.644808389907,0.995000555493834,"5N","L4",13.6666666666666,270.833333333333,12.1,273.766666666667,"1.6634",663
"145","Mexico.Nicaragua%%%5N","Mexico.Nicaragua","Mexico","Nicaragua",10.656309822575,0.720031107654705,"5N","L2",19.4333333333333,260.866666666667,12.1,273.766666666667,"1.0326",658
"146","Mexico.USA%%%5N","Mexico.USA","Mexico","USA",6.66993529942441,0.616820353294078,"5N","L1",19.4333333333333,260.866666666667,29.306,278.306,"1.1951",662
"147","Nicaragua.Venezuela%%%5N","Nicaragua.Venezuela","Nicaragua","Venezuela",6.8646278608038,0.623597378069103,"5N","L1",12.1,273.766666666667,10.5,293.083333333333,"0.9319",656
"148","USA.Venezuela%%%5N","USA.Venezuela","USA","Venezuela",7.35327387950388,0.639595600488835,"5N","L1",29.306,278.306,10.5,293.083333333333,"0.9786",657
"149","Angola.USA%%%5O","Angola.USA","Angola","USA",71.0684603937446,0.957671369847795,"5O","L3",-8.83333333333333,13.3333333333333,29.306,278.306,"0.7954",667
"150","Belize.Nicaragua%%%5O","Belize.Nicaragua","Belize","Nicaragua",654.390851958471,0.995222753027441,"5O","L4",17.25,271.233333333333,12.1,273.766666666667,"0.8937",677
"151","Costa_Rica.Honduras%%%5O","Costa_Rica.Honduras","Costa_Rica","Honduras",178.101614285203,0.982668592378625,"5O","L4",9.93333333333333,275.916666666667,14.1,272.783333333333,"1.2612",679
"152","Costa_Rica.Nicaragua%%%5O","Costa_Rica.Nicaragua","Costa_Rica","Nicaragua",28270.7367389917,1,"5O","L5",9.93333333333333,275.916666666667,12.1,273.766666666667,"2.0979",681
"153","Costa_Rica.Saint_Barthelemy%%%5O","Costa_Rica.Saint_Barthelemy","Costa_Rica","Saint_Barthelemy",14.6747351524834,0.823686257082546,"5O","L2",9.93333333333333,275.916666666667,17.9,297.166666666667,"0.7854",665
"154","Costa_Rica.USA%%%5O","Costa_Rica.USA","Costa_Rica","USA",212.689936280662,0.985446061548717,"5O","L4",9.93333333333333,275.916666666667,29.306,278.306,"1.3679",680
"155","El_Salvador.Nicaragua%%%5O","El_Salvador.Nicaragua","El_Salvador","Nicaragua",50.7138126137005,0.941673147428064,"5O","L3",13.6666666666666,270.833333333333,12.1,273.766666666667,"0.6359",664
"156","Mexico.Nicaragua%%%5O","Mexico.Nicaragua","Mexico","Nicaragua",28270.7367389917,1,"5O","L5",19.4333333333333,260.866666666667,12.1,273.766666666667,"1.0303",678
"157","Mexico.USA%%%5O","Mexico.USA","Mexico","USA",5651.63439342266,0.999444506165982,"5O","L4",19.4333333333333,260.866666666667,29.306,278.306,"0.7915",420
"158","Argentina.Brazil%%%5P","Argentina.Brazil","Argentina","Brazil",18.006060530846,0.851460948783468,"5P","L2",-34.6,301.616666666667,-15.7833333333333,312.133333333333,"1.0278",692
"159","Barbados.Brazil%%%5P","Barbados.Brazil","Barbados","Brazil",17.5874565392405,0.848461282079769,"5P","L2",13.1,300.383333333333,-15.7833333333333,312.133333333333,"1.0395",693
"160","Brazil.Guyana%%%5P","Brazil.Guyana","Brazil","Guyana",28.1006610974728,0.899455616042662,"5P","L2",-15.7833333333333,312.133333333333,6.76666666666666,301.833333333333,"1.0688",695
"161","Brazil.Venezuela%%%5P","Brazil.Venezuela","Brazil","Venezuela",291.37836882033,0.989334518386846,"5P","L4",-15.7833333333333,312.133333333333,10.5,293.083333333333,"1.0435",694
"162","Colombia.Ecuador%%%5P","Colombia.Ecuador","Colombia","Ecuador",132.140519622146,0.976780357738029,"5P","L4",4.58333333333333,285.933333333333,-0.15,281.65,"0.8722",690
"163","Colombia.Venezuela%%%5P","Colombia.Venezuela","Colombia","Venezuela",28270.7367389917,1,"5P","L5",4.58333333333333,285.933333333333,10.5,293.083333333333,"1.6713",697
"164","Mexico.USA%%%5P","Mexico.USA","Mexico","USA",25.8576561899928,0.891678702366404,"5P","L2",19.4333333333333,260.866666666667,29.306,278.306,"1.1213",696
"165","Argentina.Venezuela%%%5Q","Argentina.Venezuela","Argentina","Venezuela",221.254663631918,0.986001555382735,"5Q","L4",-34.6,301.616666666667,10.5,293.083333333333,"0.7665",147
"166","China.Jamaica%%%5Q","China.Jamaica","China","Jamaica",13.2494609026048,0.808354627263637,"5Q","L2",23.13,113.939,17.9833333333333,283.2,"1.1691",716
"167","Haiti.Puerto_Rico%%%5Q","Haiti.Puerto_Rico","Haiti","Puerto_Rico",4709.17179569023,0.999333407399178,"5Q","L4",19,284.583333333333,18.45,293.9,"1.423",717
"168","Puerto_Rico.USA%%%5Q","Puerto_Rico.USA","Puerto_Rico","USA",28270.7367389917,0.999888901233196,"5Q","L5",18.45,293.9,29.306,278.306,"2.0575",718
"169","Puerto_Rico.Venezuela%%%5Q","Puerto_Rico.Venezuela","Puerto_Rico","Venezuela",6.86017877713182,0.685923786245973,"5Q","L1",18.45,293.9,10.5,293.083333333333,"0.6701",698
"170","Argentina.Brazil%%%5R","Argentina.Brazil","Argentina","Brazil",5621.67559534117,1,"5R","L4",-34.6,301.616666666667,-15.7833333333333,312.133333333333,"1.6778",723
"171","Argentina.Paraguay%%%5R","Argentina.Paraguay","Argentina","Paraguay",53.4359484741015,0.988445728252416,"5R","L3",-34.6,301.616666666667,-25.2666666666666,302.333333333333,"0.8656",90
"172","Brazil.China%%%5R","Brazil.China","Brazil","China",11.4403913224237,0.948227974669481,"5R","L2",-15.7833333333333,312.133333333333,23.13,113.939,"0.8824",722
